x,y,date,year,month,month_name,station
-0.18346262,-4.5505414,2020-05-12,2020,5,May,BJU
-0.49576354,-5.7910404,2020-05-13,2020,5,May,BJU
-0.41704082,-4.267096,2020-05-14,2020,5,May,BJU
-0.25820386,-4.710202,2020-05-15,2020,5,May,BJU
0.51417077,-5.9942164,2020-05-16,2020,5,May,MER
-0.5685221,-6.9263306,2020-05-17,2020,5,May,MER
-1.1279565,-6.799685,2020-05-18,2020,5,May,BJU
-1.0793309,-6.2686534,2020-05-19,2020,5,May,BJU
-1.4092854,-4.5820847,2020-05-20,2020,5,May,UAX
-1.538252,-2.69373,2020-05-21,2020,5,May,UAX
-0.75049984,-1.8126156,2020-05-22,2020,5,May,UAX
-0.28046,-3.4650087,2020-05-23,2020,5,May,UAX
-0.4993688,-6.8912225,2020-05-24,2020,5,May,BJU
-0.9108331,-6.0668154,2020-05-25,2020,5,May,UAX
-1.2003267,-6.042081,2020-05-26,2020,5,May,UAX
-1.1724104,-4.7387443,2020-05-27,2020,5,May,BJU
-0.55957377,-4.201534,2020-05-28,2020,5,May,BJU
0.34645617,-5.0074725,2020-05-29,2020,5,May,MER
0.46783948,-6.4562917,2020-05-30,2020,5,May,MER
0.13271916,-6.327743,2020-05-31,2020,5,May,MER
0.8811622,-4.1105576,2020-06-01,2020,6,Jun,MER
1.2329247,-6.3267527,2020-06-04,2020,6,Jun,BJU
-0.06060051,-3.8878977,2020-06-09,2020,6,Jun,BJU
0.5022522,-5.1371884,2020-06-10,2020,6,Jun,BJU
0.8895198,-6.842607,2020-06-11,2020,6,Jun,UAX
1.3646173,-6.3687606,2020-06-12,2020,6,Jun,MER
-0.093043916,-6.9831443,2020-06-13,2020,6,Jun,MER
-0.14222181,-7.0715594,2020-06-14,2020,6,Jun,MER
-0.19982398,-5.9477906,2020-06-15,2020,6,Jun,BJU
-0.56987035,-5.9146895,2020-06-16,2020,6,Jun,MER
0.8720503,-4.6667976,2020-06-20,2020,6,Jun,BJU
0.9470039,-4.1302786,2020-06-21,2020,6,Jun,MER
1.4321482,-2.8237107,2020-06-22,2020,6,Jun,BJU
2.1987336,-3.69937,2020-06-23,2020,6,Jun,MER
2.0777216,-5.2894506,2020-06-24,2020,6,Jun,UAX
3.2510316,-6.2938714,2020-06-25,2020,6,Jun,UAX
1.6978258,-4.783153,2020-06-26,2020,6,Jun,UAX
0.1040175,-6.023599,2020-06-27,2020,6,Jun,MER
0.45364726,-7.0958447,2020-06-28,2020,6,Jun,BJU
0.7139064,-3.6315522,2020-06-29,2020,6,Jun,MER
